wallet,credit_score
0xbd1ade15969b6253414f8684367d00737fae58ea,100.0
0x351ebf2aadc7a7fd51a822753d519c9182ce5ba7,99.99999996125928
0x81fea711f9dc6a4dbb8fb14f7a5da8d861073e92,99.9999996654796
0x9f8e83e434092fd7df3fe2fc52d42f0252e60311,99.99997961830047
0x25c9d1977f91a8d6f16c114a017d2d5228258d21,99.99997697993743
0xcb470dd050d929cb4dbf42f9dfe465e905d8453e,99.99997559790778
0x738e94eb9fdd44d17c9d0af83c5c58b2068ec329,99.99996842606161
0x8ccc59e8eb860ecdd8987702b63b3398825fc3fb,99.99996072008203
0x501b8aa6d00763209d678156b094bec1b790f3ec,99.99995790270985
0xd073b96c4a327e2ddde2aeb5d79bfea5e738d854,99.9999578648363
0x794390c0265745d894109556c3bfa3579b4ecd6c,99.9999578519671
0x08ae943e7e56021df124a0dd056438bb661ded76,99.99995781921265
0x3827efa3a5b6d02c2513ca0ecb0524833d2bee47,99.99995776789551
0x173a3195b1da3f1a0ca7fc91296252c21780f608,99.9999576889724
0x31a3801499618d3c4b0225b9e06e228d4795b55d,99.9999576384108
0x81493283d20e44f9ece04c55a1a80fa215cb83b7,99.99995761345224
0xff249fa3628e6c47dea6d26b8dda3c46dc2cc8bb,99.9999575040135
0x03c1ea9c129677896e7388c93132a0152199e2ed,99.99995750184011
0x7c4ccdb9a7aa1f2cb0078eccb36706d8e8f16f20,99.99995748775832
0x5c1584a98a8b974c3b75911da0e3111fe7a139db,99.99995743366055
0xfe5aeb9b2a76add65660c74b6e7bfe9f17652f1e,99.99995742709979
0x8812f1cc58cfe274ce9bdfa60ae20bc7cb2a6ef6,99.99995739541376
0x449607ab6143cb3935e01650595473bb9fb6f9fa,99.99995737652046
0x1f8b872c3c23c2f30a44a7b4811881025689e45c,99.99995737261513
0x5411b7e1435154bee9d81eff0a2c6834fbe2b7d7,99.99995733449548
0x66db6375db378237cae3f12daa19dba52a328f31,99.9999573129171
0xffc18a0bcb6da5bb0b2d635d7d2925ff93f44d8b,99.99995729861176
0x1df572c4698a5602b6e0d54a79c67c6ce1f00b86,99.9999572855642
0x289626a5fb30f7a8626d74a2ab8cbd7be4a9fdf7,99.99995728334034
0xe92b15bed6c0d0b02fee2b3600fd45be402afaa9,99.99995727859942
0xa458adfd84504ffd332632b1b0bbcb05dc67842c,99.99995727348872
0xfefa91914376f63a22c161b94989f70c800bd318,99.9999572693285
0xce1559448e21981911fac70d4ec0c02ca1eff39c,99.99995726594112
0x9a2e6e99fd080138a7b649803f11afb0c28d48f1,99.99995726196641
0x279becc03bb91c65cb2f7279d84c09c60c334b24,99.99995726169429
0x954c6ec2a2074fc4a430ea9ec5b6deb96380716b,99.99995725997715
0x804251146005824abe1172814aa007e74c97aa65,99.99995723239932
0x735182c782cb8e7806f8903de7913e6880cbf82e,99.99995722094302
0x7fa122e4efea5f569af5099d5e9ed41f38a74aff,99.9999572200575
0x8bc8e13c4ce69505a35558526977055acca3f9a2,99.99995721889073
0xf841ef354fb7c3ec3bd31921f25401487d31c4e6,99.99995721702277
0x743fa07da8bf3cff81054f18452253db869ee26c,99.99995721658212
0xed682972bc0d52c9f9e20409a5fa6108052fd5cd,99.99995721556006
0x30c80c56f439760d4d0fa33ed19822a27e7461bb,99.9999571860888
0xce7b44aca09ac31fb00ec45872289da393ff8e78,99.99995718382154
0xb8c60511d6aae5ae5c113806c20a80f7591dc302,99.99995717631772
0x42990e77091a5adc92e0699a0126020e8badd9ef,99.99995717001964
